Year Read,Book Name,Book Title,Author,Description,Links2,Links
2024,He Who Fights with Monsters 10,He Who Fights with Monsters 10,Shirtaloon,,<a href='https://www.goodreads.com/book/show/131499749-he-who-fights-with-monsters-10?from_search=true&from_srp=true&qid=NsxurixHtC&rank=1'>He Who Fights with Monsters 10</a>,https://www.goodreads.com/book/show/131499749-he-who-fights-with-monsters-10?from_search=true&from_srp=true&qid=NsxurixHtC&rank=1
2024,Awaken Online: Timeless (Book 7),Awaken Online: Timeless (Book 7),Travis Bagwell,,<a href='https://www.goodreads.com/book/show/193755216-timeless?from_search=true&from_srp=true&qid=6OTgLwM49S&rank=1'>Awaken Online: Timeless (Book 7)</a>,https://www.goodreads.com/book/show/193755216-timeless?from_search=true&from_srp=true&qid=6OTgLwM49S&rank=1
2024,Stealing Sorcery (The War of Broken Mirrors Book 2),Stealing Sorcery (The War of Broken Mirrors Book 2),Andrew Rowe,,<a href='https://www.goodreads.com/book/show/27207706-stealing-sorcery?from_search=true&from_srp=true&qid=hEyzFEheYx&rank=1'>Stealing Sorcery (The War of Broken Mirrors Book 2)</a>,https://www.goodreads.com/book/show/27207706-stealing-sorcery?from_search=true&from_srp=true&qid=hEyzFEheYx&rank=1
2024,Hollow (Madness Re-Incarnate Book 1),Hollow (Madness Re-Incarnate Book 1),Travis Bagwell,,<a href='https://www.amazon.com/Hollow-Madness-Re-Incarnate-Book-1-ebook/dp/B0D3ZZ2P3F'>Hollow (Madness Re-Incarnate Book 1)</a>,https://www.amazon.com/Hollow-Madness-Re-Incarnate-Book-1-ebook/dp/B0D3ZZ2P3F
2024,Defiance of the Fall 5,Defiance of the Fall 5,J.F. Brink,,<a href='https://www.goodreads.com/book/show/60498348-defiance-of-the-fall-5?from_search=true&from_srp=true&qid=NA4wYdUawO&rank=1'>Defiance of the Fall 5</a>,https://www.goodreads.com/book/show/60498348-defiance-of-the-fall-5?from_search=true&from_srp=true&qid=NA4wYdUawO&rank=1
2024,Defiance of the Fall 6,Defiance of the Fall 6,J.F. Brink,,<a href='https://www.goodreads.com/book/show/61197352-defiance-of-the-fall-6?from_search=true&from_srp=true&qid=tyzYNFMvN2&rank=4'>Defiance of the Fall 6</a>,https://www.goodreads.com/book/show/61197352-defiance-of-the-fall-6?from_search=true&from_srp=true&qid=tyzYNFMvN2&rank=4
2024,Defiance of the Fall 7,Defiance of the Fall 7,J.F. Brink,,<a href='https://www.goodreads.com/book/show/61853193-defiance-of-the-fall-7?from_search=true&from_srp=true&qid=tyzYNFMvN2&rank=8'>Defiance of the Fall 7</a>,https://www.goodreads.com/book/show/61853193-defiance-of-the-fall-7?from_search=true&from_srp=true&qid=tyzYNFMvN2&rank=8
2024,Defiance of the Fall 8,Defiance of the Fall 8,J.F. Brink,,<a href='https://www.goodreads.com/book/show/63059438-defiance-of-the-fall-8?from_search=true&from_srp=true&qid=tyzYNFMvN2&rank=7'>Defiance of the Fall 8</a>,https://www.goodreads.com/book/show/63059438-defiance-of-the-fall-8?from_search=true&from_srp=true&qid=tyzYNFMvN2&rank=7
2024,Defiance of the Fall 9,Defiance of the Fall 9,J.F. Brink,,<a href='https://www.goodreads.com/book/show/142235363-defiance-of-the-fall-9?from_search=true&from_srp=true&qid=OKiYDY36fU&rank=1'>Defiance of the Fall 9</a>,https://www.goodreads.com/book/show/142235363-defiance-of-the-fall-9?from_search=true&from_srp=true&qid=OKiYDY36fU&rank=1
2024,Defiance of the Fall 10,Defiance of the Fall 10,J.F. Brink,,<a href='https://www.goodreads.com/book/show/134582757-defiance-of-the-fall-10?from_search=true&from_srp=true&qid=KvT6sfjgoZ&rank=1'>Defiance of the Fall 10</a>,https://www.goodreads.com/book/show/134582757-defiance-of-the-fall-10?from_search=true&from_srp=true&qid=KvT6sfjgoZ&rank=1
2024,Defiance of the Fall 11,Defiance of the Fall 11,J.F. Brink,,<a href='https://www.goodreads.com/book/show/195018071-defiance-of-the-fall-11?from_search=true&from_srp=true&qid=jUY56qU1Cp&rank=1'>Defiance of the Fall 11</a>,https://www.goodreads.com/book/show/195018071-defiance-of-the-fall-11?from_search=true&from_srp=true&qid=jUY56qU1Cp&rank=1
2024,Defiance of the Fall 12,Defiance of the Fall 12,J.F. Brink,,<a href='https://www.goodreads.com/book/show/200607509-defiance-of-the-fall-12?from_search=true&from_srp=true&qid=mkXzZz5HnB&rank=1'>Defiance of the Fall 12</a>,https://www.goodreads.com/book/show/200607509-defiance-of-the-fall-12?from_search=true&from_srp=true&qid=mkXzZz5HnB&rank=1
2024,Defiance of the Fall 13,Defiance of the Fall 13,J.F. Brink,,<a href='https://www.goodreads.com/book/show/208920345-defiance-of-the-fall-13?from_search=true&from_srp=true&qid=4MWmIhBpnK&rank=1'>Defiance of the Fall 13</a>,https://www.goodreads.com/book/show/208920345-defiance-of-the-fall-13?from_search=true&from_srp=true&qid=4MWmIhBpnK&rank=1
,,,,,<a href=''></a>,
2023,Initialization (Master Hunter K Book 1),Initialization (Master Hunter K Book 1),"From Hell, Minsoo Kang (translator)",,<a href='https://www.goodreads.com/book/show/61497667-initialization?from_search=true&from_srp=true&qid=INbBFy0ne0&rank=1'>Initialization (Master Hunter K Book 1)</a>,https://www.goodreads.com/book/show/61497667-initialization?from_search=true&from_srp=true&qid=INbBFy0ne0&rank=1
2023,The Primal Hunter,The Primal Hunter,Zogarth,,<a href='https://www.goodreads.com/book/show/60111529-the-primal-hunter?from_search=true&from_srp=true&qid=XhiyrONVM7&rank=1'>The Primal Hunter</a>,https://www.goodreads.com/book/show/60111529-the-primal-hunter?from_search=true&from_srp=true&qid=XhiyrONVM7&rank=1
